a,啊阿吖嗄腌锕
zha,扎喳渣札轧铡闸眨栅榨咋乍炸诈揸吒咤哳砟痄蚱齄齄
zhai,摘斋宅窄债寨砦瘵择
zhan,瞻毡詹粘沾盏斩辗崭展蘸栈占战站湛绽谵搌旃颤
zhang,樟章彰漳张掌涨杖丈帐账仗胀瘴障鄣幛嶂獐嫜璋蟑仉
zhao,招昭找沼着赵照罩兆肇召诏啁棹钊笊
zhe,遮折哲蛰辙者锗蔗这浙摺柘辄磔鹧褶蜇赭谪
zhen,珍斟真甄臻贞针侦枕疹诊震振镇阵圳蓁浈缜桢榛轸赈胗朕祯畛稹鸩箴
zheng,蒸挣睁征狰争怔整拯正政帧症郑证诤峥徵钲铮筝徴
zhi,芝枝支吱蜘知肢脂汁之织职直植殖执值侄址指止趾只旨纸志挚掷至致置帜峙制智秩稚质炙痔滞治窒卮陟郅埴芷摭帙忮彘咫骘栉枳栀轵轾贽胝膣膣祉黹雉鸷鸷痣蛭絷酯跖踬踯豸觯
zhong,中盅忠钟衷终种肿重仲众冢锺螽舯踵
zhou,舟周州洲诌粥轴肘帚咒皱宙昼骤荮妯纣绉胄碡籀酎
zhu,珠株蛛朱猪诸诛逐竹烛煮拄瞩嘱属主著柱助蛀贮铸筑住注祝驻伫侏邾茱洙渚潴杼槠橥炷铢疰瘃竺箸舳翥躅麈
zhua,抓爪
zhuai,拽
zhuan,专砖转撰赚篆啭馔颛
zhuang,桩庄装妆撞壮状椎僮
zhui,锥追赘坠缀惴缒
zhun,谆准肫窀
zhuo,捉拙卓桌琢茁酌啄着灼浊倬诼擢浞涿濯禚斫镯
zi,兹咨资姿滋淄孜紫仔籽滓子自渍字谘嵫姊孳缁梓辎赀恣眦锱秭耔粢趑觜訾龇鲻髭笫
zong,鬃棕踪宗综总纵偬腙粽
zou,邹走奏揍诹陬鄹驺鲰
zu,租足卒族祖诅阻组俎菹镞
zuan,钻纂攥缵躜
zui,嘴醉最罪蕞咀
zun,尊遵撙樽鳟
zuo,昨左佐柞做作坐座阼唑怍胙祚笮阝
